event_id,time_utc,mag,status,place,lon,lat,depth_km
usc000naqn,2014-03-13T02:48:28.400Z,2.7,reviewed,"10 km W of Morrison, Oklahoma",-97.124,36.29,10.1
usc000na9d,2014-03-13T08:07:24.990Z,2.5,reviewed,Oklahoma,-97.028,35.049,19.4
usc000nabb,2014-03-13T16:12:32.300Z,2.5,reviewed,"5 km W of Wakita, Oklahoma",-97.9838,36.8809,5
usc000naye,2014-03-14T02:22:14.440Z,3.1,reviewed,"8 km NW of Perkins, Oklahoma",-97.11,36.02,4.4
usc000nc7e,2014-03-14T04:19:24.260Z,2.6,reviewed,"8 km NNE of Guthrie, Oklahoma",-97.395,35.951,3.6
usc000nc8e,2014-03-14T14:59:43.600Z,2.8,reviewed,"8 km NW of Prague, Oklahoma",-96.7504,35.547,5
usc000nbyc,2014-03-14T21:06:42.500Z,2.8,reviewed,"8 km NE of Stillwater, Oklahoma",-96.983,36.161,6.3
usc000nc51,2014-03-15T00:37:47.100Z,2.9,reviewed,"8 km N of Hunter, Oklahoma",-97.6706,36.6377,2.769
usc000nc8a,2014-03-15T03:50:48.350Z,2.9,reviewed,"7 km NNW of Hunter, Oklahoma",-97.679,36.631,5.3
usc000nccz,2014-03-15T10:09:41.180Z,2.7,reviewed,"2 km NW of Freeport, Kansas",-97.8773,37.2194,2.23
usc000ncmx,2014-03-15T18:48:38.800Z,2.9,reviewed,"7 km N of Hunter, Oklahoma",-97.6687,36.6313,5
usc000ncv8,2014-03-15T19:12:13.200Z,2.8,reviewed,"8 km N of Hunter, Oklahoma",-97.669,36.637,4.8
usc000ncvg,2014-03-15T19:15:01.430Z,2.9,reviewed,"8 km N of Hunter, Oklahoma",-97.679,36.636,6.7
usc000nd3w,2014-03-15T19:27:05.160Z,3,reviewed,"7 km N of Hunter, Oklahoma",-97.669,36.632,5
usc000nd4e,2014-03-16T03:17:38Z,2.7,reviewed,"8 km E of Guthrie, Oklahoma",-97.335,35.865,5.2
usc000nd9r,2014-03-16T08:46:20.180Z,3.7,reviewed,"3 km WSW of Freeport, Kansas",-97.8992,37.1918,3.08
usc000ndtb,2014-03-17T01:07:30.600Z,2.6,reviewed,"9 km W of Morrison, Oklahoma",-97.1177,36.2853,9.263
usc000ndvy,2014-03-17T04:36:40.300Z,2.5,reviewed,"5 km NNW of Breckinridge, Oklahoma",-97.7623,36.4817,5
usc000ndy6,2014-03-17T08:13:38.040Z,3.4,reviewed,"1 km ENE of Nicoma Park, Oklahoma",-97.307,35.496,7.01
usc000nein,2014-03-17T18:45:55.260Z,3.1,reviewed,"6 km SSW of Langston, Oklahoma",-97.275,35.893,5.1
usc000nes0,2014-03-17T20:30:23.280Z,2.6,reviewed,"2 km NE of Nicoma Park, Oklahoma",-97.304,35.503,7.2
usc000nfik,2014-03-17T23:10:25.200Z,2.5,reviewed,"10 km SE of Marshall, Oklahoma",-97.5431,36.0821,3.989
usc000nezl,2014-03-17T23:38:19.100Z,3,reviewed,"10 km SE of Marshall, Oklahoma",-97.5474,36.0799,4.023
usc000nf5r,2014-03-18T04:31:44.130Z,2.9,reviewed,"6 km NNW of Meridian, Oklahoma",-97.282,35.891,5
usc000nfgq,2014-03-18T13:22:16.300Z,2.5,reviewed,"3 km ESE of Carney, Oklahoma",-96.9822,35.7941,4.737
usc000nfit,2014-03-18T14:59:10.200Z,2.7,reviewed,"4 km N of Nash, Oklahoma",-98.0422,36.7043,3.803
usc000nfu0,2014-03-18T15:58:55.400Z,2.5,reviewed,"9 km N of Hunter, Oklahoma",-97.68,36.644,5
usc000nh70,2014-03-19T01:17:56.170Z,2.6,reviewed,"10 km SE of Marshall, Oklahoma",-97.553,36.079,3.8
usc000nh19,2014-03-19T06:40:16.400Z,2.7,reviewed,"2 km NNE of Morrison, Oklahoma",-96.9975,36.3175,7.528
usc000ngly,2014-03-19T08:28:31.130Z,3.1,reviewed,"4 km N of Hunter, Oklahoma",-97.652,36.6079,5
usc000ngmx,2014-03-19T08:54:30Z,3.1,reviewed,"10 km SE of Marshall, Oklahoma",-97.5495,36.0765,4.258
usc000ngsg,2014-03-19T11:23:14.200Z,3.1,reviewed,"10 km SE of Marshall, Oklahoma",-97.5501,36.079,3.7
usc000nh4q,2014-03-19T17:52:29.800Z,2.5,reviewed,"4 km N of Ripley, Oklahoma",-96.909,36.061,2.8
usc000nhcy,2014-03-19T20:15:32Z,3.4,reviewed,"7 km NW of Agra, Oklahoma",-96.918,35.949,1.6
usc000nhr1,2014-03-19T20:22:42.300Z,2.9,reviewed,"7 km SSW of Ripley, Oklahoma",-96.925,35.953,2.3
usc000nidh,2014-03-20T03:40:43.150Z,2.5,reviewed,"2 km W of Spencer, Oklahoma",-97.4074,35.5248,7.42
usc000ni0e,2014-03-20T05:08:48.700Z,2.8,reviewed,"8 km N of Hunter, Oklahoma",-97.6628,36.6372,5
usc000ni0f,2014-03-20T05:12:23.800Z,3.1,reviewed,"8 km N of Hunter, Oklahoma",-97.6716,36.6376,6.715
usc000nief,2014-03-20T14:39:17.800Z,3.3,reviewed,"5 km NNW of Meridian, Oklahoma",-97.275,35.891,5
usc000nim4,2014-03-20T16:46:54.400Z,2.6,reviewed,"5 km SSW of Langston, Oklahoma",-97.2725,35.8937,4.216
usc000nin1,2014-03-20T16:48:49.200Z,2.8,reviewed,"5 km SSW of Langston, Oklahoma",-97.275,35.8947,4.35
usc000njg8,2014-03-20T21:26:21.900Z,2.7,reviewed,"10 km SE of Marshall, Oklahoma",-97.545,36.0802,4.834
usc000njca,2014-03-20T22:42:32.200Z,3.3,reviewed,"2 km NNE of Kremlin, Oklahoma",-97.8247,36.5675,3.66
usc000njg6,2014-03-21T01:01:50.560Z,2.5,reviewed,"8 km WNW of Deer Creek, Oklahoma",-97.61,36.826,1.9
usc000njk1,2014-03-21T05:46:59.300Z,2.5,reviewed,"9 km SE of Sparks, Oklahoma",-96.7607,35.5418,5
usc000njup,2014-03-21T06:01:32.200Z,2.8,reviewed,"10 km SE of Marshall, Oklahoma",-97.5505,36.078,4.349
usc000nji8,2014-03-21T06:43:13Z,2.8,reviewed,"9 km WNW of Jet, Oklahoma",-98.288,36.6844,9.72
usc000njk6,2014-03-21T09:05:46.100Z,3,reviewed,"10 km SE of Marshall, Oklahoma",-97.5493,36.0796,4.296
usc000njt5,2014-03-21T09:08:06Z,2.7,reviewed,"10 km SE of Marshall, Oklahoma",-97.5527,36.0763,4.212
usc000njqa,2014-03-21T11:20:53.900Z,2.8,reviewed,"8 km NNE of Guthrie, Oklahoma",-97.4062,35.9496,4.165
