event_id,time_utc,mag,status,place,lon,lat,depth_km,cell_id,Z,x_m,y_m,is_post,t_sec_pre0,t_sec_post0
us10001rat,2015-03-24T09:00:28.100Z,2.5,reviewed,"4 km W of Lucien, Oklahoma",-97.5097,36.2781,5.709,1227,1,-134375.108801761,1470950.42145374,1,38653228.0999999,550828.099999905
us10001q5d,2015-03-24T09:39:13.700Z,3.5,reviewed,"9 km SW of Waynoka, Oklahoma",-98.9563,36.5175,0.416,1264,0,-262268.396268331,1500778.61313083,1,38655553.7,553153.700000048
us10001q92,2015-03-24T09:45:37Z,3,reviewed,"8 km NE of Quinlan, Oklahoma",-98.9862,36.5166,5,1264,0,-264923.27597126,1500760.77778442,1,38655937,553537
us10001qe6,2015-03-24T09:57:32.600Z,2.6,reviewed,"5 km W of Lucien, Oklahoma",-97.5132,36.2786,6.744,1227,1,-134685.718202657,1471011.37126664,1,38656652.5999999,554252.599999905
us10001qfv,2015-03-24T10:05:07.600Z,2.6,reviewed,"8 km NE of Quinlan, Oklahoma",-98.9834,36.5116,5,1264,0,-264692.533835921,1500193.14754272,1,38657107.5999999,554707.599999905
us10001q5m,2015-03-24T10:07:14.700Z,3.3,reviewed,"7 km NNE of Quinlan, Oklahoma",-99.0043,36.5177,7.408,1263,1,-266524.604709003,1500934.54947856,1,38657234.7,554834.700000048
us10001q7x,2015-03-24T10:14:05.600Z,2.8,reviewed,"8 km NNE of Quinlan, Oklahoma",-98.9959,36.5205,5,1263,1,-265769.764760627,1501224.52775306,1,38657645.5999999,555245.599999905
us10001q7p,2015-03-24T10:23:49.800Z,2.7,reviewed,"7 km NE of Quinlan, Oklahoma",-98.9864,36.5084,5,1264,0,-264969.874443413,1499843.21860001,1,38658229.8,555829.799999952
us10001qcs,2015-03-24T10:41:09.200Z,2.5,reviewed,"8 km NNE of Quinlan, Oklahoma",-99.0024,36.5215,5,1263,1,-266342.65712912,1501354.69078052,1,38659269.2,556869.200000048
us10001qf4,2015-03-24T11:07:22.300Z,2.5,reviewed,"11 km SW of Morrison, Oklahoma",-97.0976,36.2244,5.554,1229,1,-97766.3867729634,1464433.11206279,1,38660842.3,558442.299999952
us10001qck,2015-03-24T13:00:11.300Z,2.5,reviewed,"8 km ENE of Cherokee, Oklahoma",-98.2667,36.7895,5.478,1353,1,-200377.102786554,1529560.78611624,1,38667611.3,565211.299999952
us10001q7k,2015-03-24T13:54:43.700Z,3.2,reviewed,"13 km N of Coyle, Oklahoma",-97.2242,36.0784,5.269,1185,1,-109253.049171666,1448220.96369809,1,38670883.7,568483.700000048
us10001qfj,2015-03-24T14:21:03.190Z,2.5,reviewed,"5 km SSE of Stillwater, Oklahoma",-97.028,36.076,4.4,1186,1,-91746.9446122614,1447744.72202765,1,38672463.1900001,570063.190000057
us10001q7r,2015-03-24T14:31:36.300Z,3.1,reviewed,"7 km ENE of Aline, Oklahoma",-98.3807,36.5423,5,1266,0,-211146.380923121,1502121.97292412,1,38673096.3,570696.299999952
us10001qci,2015-03-24T15:02:23.300Z,2.5,reviewed,"7 km NNE of Quinlan, Oklahoma",-99.0107,36.52,5,1263,1,-267084.025889428,1501210.03708967,1,38674943.3,572543.299999952
us10001q97,2015-03-24T15:31:51.490Z,3.7,reviewed,"8 km NNW of Caldwell, Kansas",-97.6504,37.105,5.89,1398,0,-145288.572050064,1563783.19875169,1,38676711.49,574311.49000001
us10001q9f,2015-03-24T15:35:55.620Z,3.2,reviewed,"6 km NNW of Caldwell, Kansas",-97.6332,37.0868,5,1399,0,-143809.611811214,1561717.96429899,1,38676955.6199999,574555.619999886
us10001qdg,2015-03-24T19:48:28.900Z,4,reviewed,"11 km ENE of Nescatunga, Oklahoma",-98.0301,36.7776,6.513,1354,1,-179493.422574752,1527755.00669932,1,38692108.9000001,589708.900000095
us10001qe7,2015-03-24T20:25:04.900Z,3.5,reviewed,"6 km ENE of Covington, Oklahoma",-97.5195,36.3309,6.795,1227,1,-135152.75656698,1476877.50474233,1,38694304.9000001,591904.900000095
us10001rc0,2015-03-24T20:57:06.700Z,2.6,reviewed,"13 km NNE of Nescatunga, Oklahoma",-98.1191,36.8691,4.477,1353,1,-187132.596897513,1538175.86909408,1,38696226.7,593826.700000048
us10001qig,2015-03-24T23:45:59.400Z,3,reviewed,"0 km NNE of Breckinridge, Oklahoma",-97.7286,36.4449,4.766,1269,0,-153517.087670981,1489962.6281534,1,38706359.4000001,603959.400000095
us10001qii,2015-03-24T23:53:17.700Z,3.2,reviewed,"1 km NNE of Breckinridge, Oklahoma",-97.7278,36.4455,4.545,1269,0,-153444.825570678,1490028.53477874,1,38706797.7,604397.700000048
us10001qil,2015-03-25T00:10:57.300Z,3.2,reviewed,"11 km ENE of Nescatunga, Oklahoma",-98.0299,36.7746,6.728,1354,1,-179482.92080662,1527418.59465781,1,38707857.3,605457.299999952
us10001qim,2015-03-25T00:15:26.900Z,3.4,reviewed,"5 km NE of Hunter, Oklahoma",-97.6278,36.5999,5.234,1313,0,-144268.537862079,1507165.30946067,1,38708126.9000001,605726.900000096
us10001qqw,2015-03-25T00:42:00.300Z,2.5,reviewed,"10 km ENE of Nescatunga, Oklahoma",-98.0333,36.7746,5.653,1354,1,-179783.50156819,1527425.02138991,1,38709720.3,607320.299999952
us10001qje,2015-03-25T03:15:16.800Z,3.5,reviewed,"6 km E of Lucien, Oklahoma",-97.3781,36.2715,5.567,1228,1,-122673.259060871,1470033.30105505,1,38718916.8,616516.799999952
us10001qjw,2015-03-25T04:57:14.320Z,2.6,reviewed,"5 km NW of Venus, Texas",-97.143,32.4633,7.71,282,0,-106866.84600504,1044065.04506161,1,38725034.3199999,622634.319999933
us10001qku,2015-03-25T08:54:47.800Z,3.1,reviewed,"7 km ESE of Orlando, Oklahoma",-97.3021,36.1171,5,1185,1,-116145.388238299,1452647.00425894,1,38739287.8,636887.799999952
us10001qls,2015-03-25T10:46:27.900Z,2.5,reviewed,"7 km S of Billings, Oklahoma",-97.4325,36.459,7.228,1270,0,-127198.81639574,1491104.52629924,1,38745987.9000001,643587.900000095
us10001qm5,2015-03-25T11:32:08.400Z,2.7,reviewed,"8 km S of Guthrie, Oklahoma",-97.4412,35.8031,5.789,1098,1,-129085.209050472,1417668.57703777,1,38748728.4000001,646328.400000096
us10001qnb,2015-03-25T13:31:26.300Z,2.5,reviewed,"8 km NNE of Perry, Oklahoma",-97.2382,36.3527,4.875,1228,1,-110102.137646673,1478956.06836041,1,38755886.3,653486.299999952
us10001qn8,2015-03-25T15:13:04.200Z,2.5,reviewed,"12 km ENE of Nescatunga, Oklahoma",-98.0136,36.7835,6.206,1354,1,-178020.772080079,1528384.84043832,1,38761984.2,659584.200000048
us10001qnr,2015-03-25T17:33:58.700Z,3.2,reviewed,"4 km WSW of Arcadia, Oklahoma",-97.3673,35.65,5.181,1056,1,-122713.221717024,1400431.57839176,1,38770438.7,668038.700000048
us10001qpz,2015-03-25T18:34:04.400Z,2.5,reviewed,"6 km N of Goltry, Oklahoma",-98.1632,36.5947,5.905,1310,1,-191726.007029963,1507529.35563503,1,38774044.4000001,671644.400000095
us10001rck,2015-03-25T21:59:31.700Z,2.8,reviewed,"9 km E of Orlando, Oklahoma",-97.2758,36.1362,5.02,1185,1,-113770.894001144,1454754.06001687,1,38786371.7,683971.700000048
us10001qt0,2015-03-26T00:23:09.800Z,2.7,reviewed,"9 km E of Orlando, Oklahoma",-97.2753,36.135,5.165,1185,1,-113728.112046418,1454619.08119307,1,38794989.8,692589.799999952
us10001qu7,2015-03-26T04:06:43.600Z,2.8,reviewed,Oklahoma,-98.5344,36.7949,6.04,1352,0,-224020.433156793,1530763.3437293,1,38808403.5999999,706003.599999905
us10001qvg,2015-03-26T04:48:24.500Z,2.6,reviewed,"6 km NNW of Mulhall, Oklahoma",-97.4365,36.1143,5.693,1184,1,-128137.538289591,1452506.19636836,1,38810904.5,708504.5
us10001qwk,2015-03-26T12:43:56.500Z,2.7,reviewed,"4 km WSW of Arcadia, Oklahoma",-97.3726,35.6522,4.897,1056,1,-123185.298921394,1400684.7049666,1,38839436.5,737036.5
us10001qve,2015-03-26T13:44:04.170Z,2.7,reviewed,"3 km SSE of Milan, Kansas",-97.6591,37.2302,8.26,1441,0,-145809.459182957,1577823.92546853,1,38843044.1700001,740644.170000076
us10001qz9,2015-03-26T18:03:44.500Z,2.6,reviewed,"4 km WSW of Arcadia, Oklahoma",-97.3704,35.6473,6.404,1056,1,-122995.781687898,1400133.34640889,1,38858624.5,756224.5
us10001r1p,2015-03-26T22:16:18.100Z,3.2,reviewed,"11 km ENE of Nescatunga, Oklahoma",-98.0271,36.776,6.514,1354,1,-179232.038073632,1527570.12617595,1,38873778.0999999,771378.099999905
us10001s1c,2015-03-26T23:34:43.100Z,2.6,reviewed,"8 km E of Orlando, Oklahoma",-97.2848,36.1501,5.371,1185,1,-114552.384931511,1456321.45104923,1,38878483.0999999,776083.099999905
us10001r8a,2015-03-27T01:34:14.900Z,2.7,reviewed,"6 km SE of Wakita, Oklahoma",-97.8743,36.8414,5,1354,1,-165579.09295169,1534618.72122019,1,38885654.9000001,783254.900000095
us10001s1k,2015-03-27T02:36:45.400Z,2.5,reviewed,"6 km N of Hunter, Oklahoma",-97.6747,36.6239,5.145,1312,1,-148377.385662077,1509925.76725446,1,38889405.4000001,787005.400000095
us10001r3m,2015-03-27T03:10:55.200Z,2.6,reviewed,"10 km WSW of Quay, Oklahoma",-96.8284,36.1388,3.359,1187,1,-73872.2431154007,1454603.53035735,1,38891455.2,789055.200000048
us10001s1n,2015-03-27T03:54:14.600Z,2.5,reviewed,"8 km NE of Quinlan, Oklahoma",-98.9756,36.5126,5,1264,0,-263997.22355398,1500283.41670467,1,38894054.5999999,791654.599999905
us10001s23,2015-03-27T07:42:27.800Z,2.7,reviewed,"6 km SE of Wakita, Oklahoma",-97.8801,36.8331,4.53,1354,1,-166109.805109276,1533699.08868412,1,38907747.8,805347.799999952
us10001s2h,2015-03-27T08:04:44.100Z,2.5,reviewed,Oklahoma,-97.2728,36.1357,4.986,1185,1,-113504.13161185,1454694.48088095,1,38909084.0999999,806684.099999905
