cell_id,Z,area_km2,centroid_x_m,centroid_y_m,centroid_lon,centroid_lat
1086,0,400,-375037.049347754,1414132.63836556,-100.183061470889,35.7065276101102
1087,0,400,-355037.049347754,1414132.63836556,-99.9602523241864,35.7141789712977
1088,0,400,-335037.049347754,1414132.63836556,-99.7373996058544,35.7214117858102
1089,0,400,-315037.049347754,1414132.63836556,-99.5145057547455,35.7282259417927
1090,0,400,-295037.049347754,1414132.63836556,-99.2915732124224,35.7346213337976
1091,0,400,-275037.049347754,1414132.63836556,-99.0686044229987,35.7405978627979
1092,0,400,-255037.049347754,1414132.63836556,-98.8456018329795,35.7461554362005
1093,0,400,-235037.049347754,1414132.63836556,-98.6225678911001,35.7512939678576
1094,0,400,-215037.049347754,1414132.63836556,-98.3995050481662,35.7560133780786
1095,0,400,-195037.049347754,1414132.63836556,-98.1764157568923,35.7603135936397
1096,0,400,-175037.049347754,1414132.63836556,-97.9533024717406,35.7641945477938
1097,0,400,-155037.049347754,1414132.63836556,-97.7301676487593,35.7676561802793
1098,1,400,-135037.049347754,1414132.63836556,-97.5070137454207,35.7706984373273
1099,1,400,-115037.049347754,1414132.63836556,-97.2838432204589,35.7733212716693
1100,1,400,-95037.0493477536,1414132.63836556,-97.0606585337077,35.775524642543
1101,0,400,-75037.0493477536,1414132.63836556,-96.8374621459379,35.7773085156975
1102,0,400,-55037.0493477537,1414132.63836556,-96.6142565186948,35.7786728633979
1103,0,400,-35037.0493477536,1414132.63836556,-96.391044114135,35.7796176644289
1104,0,400,-15037.0493477536,1414132.63836556,-96.167827394864,35.7801429040974
1105,0,400,4962.95065224637,1414132.63836556,-95.9446088237726,35.7802485742347
1106,0,400,24962.9506522464,1414132.63836556,-95.7213908638746,35.7799346731973
1107,0,400,44962.9506522464,1414132.63836556,-95.4981759781429,35.7792012058673
1108,0,400,64962.9506522464,1414132.63836556,-95.2749666293474,35.7780481836514
1109,0,400,84962.9506522464,1414132.63836556,-95.0517652798909,35.7764756244801
1110,0,400,104962.950652246,1414132.63836556,-94.8285743916471,35.7744835528047
1111,0,400,124962.950652246,1414132.63836556,-94.6053964257972,35.7720719995945
1112,0,400,144962.950652246,1414132.63836556,-94.3822338426674,35.7692410023324
1113,0,400,164962.950652246,1414132.63836556,-94.1590891015659,35.7659906050107
1114,0,400,184962.950652246,1414132.63836556,-93.935964660621,35.7623208581247
1115,0,400,204962.950652246,1414132.63836556,-93.7128629766183,35.7582318186664
1116,0,400,224962.950652246,1414132.63836556,-93.4897865048393,35.7537235501174
1117,0,400,244962.950652246,1414132.63836556,-93.2667376988989,35.74879612244
1118,0,236.749204212314,260908.296707466,1413747.00365329,-93.0890613918637,35.7411246319347
1119,0,268.29560890342,-571798.403363449,1434649.57754693,-102.387584195205,35.7918116041149
1120,0,400,-555037.049347754,1434132.63836556,-102.200505107882,35.7971122315756
1121,0,400,-535037.049347754,1434132.63836556,-101.977678218608,35.8085495341279
1122,0,400,-515037.049347754,1434132.63836556,-101.754785495704,35.8195686779824
1123,0,400,-495037.049347754,1434132.63836556,-101.531829363311,35.8301694924972
1124,0,400,-475037.049347754,1434132.63836556,-101.308812249745,35.8403518133465
1125,0,400,-455037.049347754,1434132.63836556,-101.085736587334,35.8501154825427
1126,0,400,-435037.049347754,1434132.63836556,-100.862604812267,35.8594603484561
1127,0,400,-415037.049347754,1434132.63836556,-100.63941936443,35.8683862658347
1128,0,400,-395037.049347754,1434132.63836556,-100.416182687255,35.8768930958233
1129,0,400,-375037.049347754,1434132.63836556,-100.192897227554,35.8849807059809
1130,0,400,-355037.049347754,1434132.63836556,-99.9695654353638,35.8926489702983
1131,0,400,-335037.049347754,1434132.63836556,-99.7461897637863,35.899897769214
1132,0,400,-315037.049347754,1434132.63836556,-99.5227726688255,35.9067269896302
1133,0,400,-295037.049347754,1434132.63836556,-99.2993166092283,35.9131365249271
1134,0,400,-275037.049347754,1434132.63836556,-99.0758240463228,35.9191262749768
1135,0,400,-255037.049347754,1434132.63836556,-98.8522974438561,35.9246961461564
1136,0,400,-235037.049347754,1434132.63836556,-98.6287392678325,35.9298460513602
1137,0,400,-215037.049347754,1434132.63836556,-98.4051519863509,35.934575910011
1138,0,400,-195037.049347754,1434132.63836556,-98.1815380694415,35.9388856480701
1139,0,400,-175037.049347754,1434132.63836556,-97.957899988903,35.942775198048
1140,0,400,-155037.049347754,1434132.63836556,-97.7342402181387,35.9462444990121
1141,0,400,-135037.049347754,1434132.63836556,-97.5105612319927,35.9492934965952
1142,1,400,-115037.049347754,1434132.63836556,-97.2868655065863,35.9519221430026
1143,1,400,-95037.0493477536,1434132.63836556,-97.063155519153,35.9541303970181
1144,1,400,-75037.0493477536,1434132.63836556,-96.8394337478745,35.9559182240095
1145,0,400,-55037.0493477537,1434132.63836556,-96.6157026717163,35.9572855959329
1146,0,400,-35037.0493477536,1434132.63836556,-96.3919647702624,35.958232491337
1147,0,400,-15037.0493477536,1434132.63836556,-96.1682225235508,35.9587588953649
1148,0,400,4962.95065224637,1434132.63836556,-95.9444784119085,35.9588647997571
1149,0,400,24962.9506522464,1434132.63836556,-95.7207349157866,35.9585502028517
1150,0,400,44962.9506522464,1434132.63836556,-95.4969945155952,35.9578151095851
1151,0,400,64962.9506522464,1434132.63836556,-95.2732596915386,35.9566595314913
1152,0,400,84962.9506522464,1434132.63836556,-95.04953292345,35.9550834867001
1153,0,400,104962.950652246,1434132.63836556,-94.8258166906271,35.9530869999353
1154,0,400,124962.950652246,1434132.63836556,-94.6021134716668,35.9506701025109
1155,0,400,144962.950652246,1434132.63836556,-94.3784257443011,35.9478328323273
1156,0,400,164962.950652246,1434132.63836556,-94.1547559852318,35.9445752338664
1157,0,400,184962.950652246,1434132.63836556,-93.931106669967,35.9408973581856
1158,0,400,204962.950652246,1434132.63836556,-93.7074802726562,35.9367992629114
1159,0,400,224962.950652246,1434132.63836556,-93.4838792659267,35.9322810122316
1160,0,400,244962.950652246,1434132.63836556,-93.26030612072,35.9273426768872
1161,0,168.846424160577,259267.653498557,1433320.75108742,-93.1006941394285,35.9163058110655
1162,0,339.164125383622,-573535.96729518,1454411.42443964,-102.421830944098,35.966853965369
1163,0,400,-555037.049347754,1454132.63836556,-102.215096267081,35.9753452677557
1164,0,400,-535037.049347754,1454132.63836556,-101.991747847965,35.9868078936226
1165,0,400,-515037.049347754,1454132.63836556,-101.768333130506,35.9978514485706
1166,0,400,-495037.049347754,1454132.63836556,-101.544854555784,36.0084757600642
1167,0,400,-475037.049347754,1454132.63836556,-101.321314569098,36.0186806619539
1168,0,400,-455037.049347754,1454132.63836556,-101.097715619814,36.0284659944977
1169,0,400,-435037.049347754,1454132.63836556,-100.874060161197,36.0378316043817
1170,0,400,-415037.049347754,1454132.63836556,-100.650350650258,36.0467773447402
1171,0,400,-395037.049347754,1454132.63836556,-100.426589547592,36.0553030751745
1172,0,400,-375037.049347754,1454132.63836556,-100.202779317217,36.0634086617712
1173,0,400,-355037.049347754,1454132.63836556,-99.9789224264128,36.0710939771195
1174,0,400,-335037.049347754,1454132.63836556,-99.7550213455585,36.0783589003283
1175,0,400,-315037.049347754,1454132.63836556,-99.5310785479721,36.085203317041
1176,0,400,-295037.049347754,1454132.63836556,-99.307096509746,36.0916271194513
1177,0,400,-275037.049347754,1454132.63836556,-99.0830777095842,36.0976302063166
1178,0,400,-255037.049347754,1454132.63836556,-98.8590246286386,36.1032124829715
1179,0,400,-235037.049347754,1454132.63836556,-98.6349397503449,36.1083738613404
1180,0,400,-215037.049347754,1454132.63836556,-98.410825560258,36.1131142599481
1181,0,400,-195037.049347754,1454132.63836556,-98.1866845458873,36.1174336039316
1182,0,400,-175037.049347754,1454132.63836556,-97.9625191965314,36.1213318250489
1183,0,400,-155037.049347754,1454132.63836556,-97.7383320031125,36.1248088616886
1184,1,400,-135037.049347754,1454132.63836556,-97.5141254580108,36.1278646588776
1185,1,400,-115037.049347754,1454132.63836556,-97.2899020548986,36.1304991682882
1186,1,400,-95037.0493477536,1454132.63836556,-97.0656642885739,36.1327123482448
1187,1,400,-75037.0493477536,1454132.63836556,-96.8414146547941,36.134504163729
1188,0,400,-55037.0493477537,1454132.63836556,-96.6171556501092,36.1358745863846
1189,0,400,-35037.0493477536,1454132.63836556,-96.3928897716956,36.1368235945206
1190,0,400,-15037.0493477536,1454132.63836556,-96.1686195171889,36.1373511731147
1191,0,400,4962.95065224637,1454132.63836556,-95.9443473845171,36.1374573138153
1192,0,400,24962.9506522464,1454132.63836556,-95.7200758717337,36.1371420149419
1193,0,400,44962.9506522464,1454132.63836556,-95.4958074768509,36.1364052814859
1194,0,400,64962.9506522464,1454132.63836556,-95.2715446976724,36.13524712511
1195,0,400,84962.9506522464,1454132.63836556,-95.0472900316267,36.1336675641463
1196,0,400,104962.950652246,1454132.63836556,-94.8230459756002,36.1316666235939
1197,0,400,124962.950652246,1454132.63836556,-94.5988150257703,36.1292443351163
1198,0,400,144962.950652246,1454132.63836556,-94.3745996774392,36.1264007370362
1199,0,400,164962.950652246,1454132.63836556,-94.150402424867,36.1231358743315
1200,0,400,184962.950652246,1454132.63836556,-93.9262257611053,36.1194497986287
1201,0,400,204962.950652246,1454132.63836556,-93.7020721778316,36.1153425681965
1202,0,400,224962.950652246,1454132.63836556,-93.477944165183,36.110814247938
1203,0,400,244962.950652246,1454132.63836556,-93.2538442115909,36.1058649093825
1204,0,72.0151413983977,257119.046350774,1451568.48524862,-93.1185212450833,36.0797653006631
1205,0,382.092011915416,-574594.313854491,1474262.8570866,-102.448704829745,36.1430732611374
1206,0,400,-555037.049347754,1474132.63836556,-102.229756162082,36.1535530441054
1207,0,400,-535037.049347754,1474132.63836556,-102.005883776396,36.1650412145942
1208,0,400,-515037.049347754,1474132.63836556,-101.781944623276,36.1761093940342
1209,0,400,-495037.049347754,1474132.63836556,-101.557941160896,36.1867574079731
1210,0,400,-475037.049347754,1474132.63836556,-101.333875851702,36.1969850884148
1211,0,400,-455037.049347754,1474132.63836556,-101.10975116225,36.2067922738413
1212,0,400,-435037.049347754,1474132.63836556,-100.885569563046,36.2161788092335
1213,0,400,-415037.049347754,1474132.63836556,-100.661333528384,36.2251445460916
1214,0,400,-395037.049347754,1474132.63836556,-100.437045536183,36.2336893424543
1215,0,400,-375037.049347754,1474132.63836556,-100.212708067827,36.2418130629174
1216,0,400,-355037.049347754,1474132.63836556,-99.988323608001,36.2495155786515
1217,0,400,-335037.049347754,1474132.63836556,-99.7638946445254,36.2567967674184
1218,0,400,-315037.049347754,1474132.63836556,-99.5394236681937,36.2636565135877
1219,0,400,-295037.049347754,1474132.63836556,-99.3149131726073,36.2700947081514
1220,0,400,-275037.049347754,1474132.63836556,-99.09036565401,36.2761112487384
1221,0,400,-255037.049347754,1474132.63836556,-98.8657836111224,36.2817060396277
1222,0,400,-235037.049347754,1474132.63836556,-98.6411695449761,36.2868789917614
1223,0,400,-215037.049347754,1474132.63836556,-98.4165259587472,36.2916300227557
1224,0,400,-195037.049347754,1474132.63836556,-98.191855357589,36.2959590569121
1225,0,400,-175037.049347754,1474132.63836556,-97.9671602484658,36.2998660252275
1226,1,400,-155037.049347754,1474132.63836556,-97.7424431399843,36.3033508654027
1227,1,400,-135037.049347754,1474132.63836556,-97.517706542227,36.3064135218509
1228,1,400,-115037.049347754,1474132.63836556,-97.2929529665834,36.3090539457053
1229,1,400,-95037.0493477536,1474132.63836556,-97.0681849255822,36.3112720948249
1230,1,400,-75037.0493477536,1474132.63836556,-96.843404932723,36.3130679338003
1231,0,400,-55037.0493477537,1474132.63836556,-96.6186155023074,36.3144414339585
1232,0,400,-35037.0493477536,1474132.63836556,-96.3938191492708,36.3153925733666
1233,0,400,-15037.0493477536,1474132.63836556,-96.1690183890131,36.3159213368346
1234,0,400,4962.95065224637,1474132.63836556,-95.9442157372304,36.3160277159172
1235,0,400,24962.9506522464,1474132.63836556,-95.7194137097456,36.3157117089156
1236,0,400,44962.9506522464,1474132.63836556,-95.4946148223398,36.3149733208767
1237,0,400,64962.9506522464,1474132.63836556,-95.2698215905831,36.3138125635935
1238,0,400,84962.9506522464,1474132.63836556,-95.0450365296661,36.3122294556027
1239,0,400,104962.950652246,1474132.63836556,-94.8202621542307,36.3102240221828
1240,0,400,124962.950652246,1474132.63836556,-94.5955009782014,36.3077962953505
1241,0,400,144962.950652246,1474132.63836556,-94.3707555146172,36.3049463138566
1242,0,400,164962.950652246,1474132.63836556,-94.1460282754624,36.301674123181
1243,0,400,184962.950652246,1474132.63836556,-93.9213217714989,36.2979797755263
1244,0,400,204962.950652246,1474132.63836556,-93.6966385120976,36.2938633298117
1245,0,400,224962.950652246,1474132.63836556,-93.4719810050712,36.2893248516645
1246,0,344.702436039248,243697.16302684,1473463.19464606,-93.261784206542,36.2787164202439
1247,0,0.685829775516123,255183.948702876,1464822.26714892,-93.1357189344524,36.1985771936866
1248,0,398.346047763554,-574995.831730084,1494143.70254268,-102.468360589542,36.3199260442693
1249,0,400,-555037.049347754,1494132.63836556,-102.244485279028,36.3317371387082
1250,0,400,-535037.049347754,1494132.63836556,-102.020086473,36.3432510773027
1251,0,400,-515037.049347754,1494132.63836556,-101.795620426016,36.3543440967341
